name,code,raiway_line,date_opened
Allawah,ALW,Illawarra,25/10/1925
Arncliffe,ARN,Illawarra,15/10/1884
Artarmon,ATM,North Shore,6/7/1898
Ashfield,ASH,Main Suburban,26/9/1855
Asquith,ASQ,Main Northern,1/11/1915
Auburn,AUB,Main Suburban,18/2/1877
Banksia,BAN,Illawarra,21/10/1906
Bankstown,BNK,Bankstown,14/04/1909
Bardwell Park,BPK,East Hills,21/09/1931
Beecroft,BCF,Main Northern,17/9/1886
Belmore,BMR,Bankstown,1/2/1895
Berala,BAA,Main South,11/11/1912
Berowra,BEW,Main Northern,7/4/1887
Beverly Hills,BVH,East Hills,21/09/1931
Bexley North,BXN,East Hills,21/09/1931
Birrong,BRG,Bankstown,16/07/1928
Blacktown,BAK,Main Western,4/7/1860
Bondi Junction,BJN,Eastern Suburbs,23/06/1979
Burwood,BUW,Main Suburban,26/9/1855
Cabramatta,CAB,Main South,12/02/1905
Camellia,CEL,Carlingford,21/1/1885
Campbelltown,CTN,Main South,17/5/1858
Campsie,CMP,Bankstown,1/2/1895
Canley Vale,CVE,Old Main South,15/4/1878
Canterbury,CTB,Bankstown,1/2/1895
Caringbah,CIH,Cronulla,16/12/1939
Carlingford,CGF,Carlingford,20/4/1896
Carlton,CLJ,Illawarra,3/03/1905
Carramar,CMR,Main South,8/10/1924
Casula,CSL,Main South,1/11/1894
Central,CEN,Main Suburban,26/9/1855
Chatswood,CWD,North Shore,1/1/1890
Cheltenham,CHA,Main Northern,10/10/1898
Chester Hill,CHH,Main South,8/10/1924
Circular Quay,CQY,City Circle,22/01/1956
Clarendon,CRD,Richmond,12/02/1905
Clyde,CYE,Main Suburban,24/02/1905
Como,CMO,Illawarra,26/12/1885
Concord West,CDW,Main Northern,1/9/1887
Cronulla,CNL,Cronulla,16/12/1939
Croydon,CYD,Main Suburban,7/1/1875
Denistone,DST,Main Northern,26/09/1937
Domestic Airport,DOM,Airport,21/05/2000
Doonside,DOD,Main Western,27/9/1880
Dundas,DUN,Carlingford,20/4/1896
Dulwich Hill,DHM,Bankstown,1/2/1895
East Hills,EHS,East Hills,21/12/1931
East Richmond,ERD,Richmond,2/07/1939
Eastwood,EWD,Main Northern,17/9/1886
Edgecliff,ECL,Eastern Suburbs,23/06/1979
Edmondson Park,EDP,East Hills,8/02/2015
Emu Plains,EPS,Main Western,18/8/1868
Engadine,EGD,Illawarra,1/10/1920
Epping,EPG,Main Northern,17/9/1886
Erskineville,EKV,Illawarra,15/10/1884
Fairfield,FFL,Old Main South,26/9/1856
Flemington,FMG,Main Suburban,26/02/1905
Glenfield,GFD,Main South,6/9/1869
Gordon,GDN,North Shore,1/1/1890
Granville,GAV,Main Suburban,2/7/1860
Green Square,GQE,Airport,21/05/2000
Guildford,GUD,Old Main South,/4/ 1876
Gymea,GYM,Cronulla,16/12/1939
Harris Park,HPK,Main Western,25/02/1905
Heathcote,HTC,Illawarra,9/3/1886
Holsworthy,HOL,East Hills,21/12/1987
Homebush,HSH,Main Suburban,26/9/1855
Hornsby,HBY,Main Northern,17/9/1886
Hurlstone Park,HRL,Bankstown,1/2/1895
Hurstville,HVL,Illawarra,15/10/1884
Ingleburn,IGB,Main South,6/9/1859
International Airport,INT,Airport,21/05/2000
Jannali,JNL,Illawarra,7/02/1931
Killara,KLA,North Shore,10/6/1899
Kings Cross,KSX,Eastern Suburbs,23/06/1979
Kingsgrove,KGV,East Hills,21/09/1931
Kingswood,KWD,Main Western,1/9/1887
Kirrawee,KEE,Cronulla,16/12/1939
Kogarah,KGH,Illawarra,15/10/1884
Lakemba,LKM,Bankstown,14/04/1909
Leightonfield,LHF,Main South,24/08/1942
Leppington,LEP,South West,8/02/2015
Leumeah,LUM,Main South,28/02/1905
Lewisham,LWI,Main Suburban,28/02/1905
Lidcombe,LDC,Main Suburban,01/11/1858
Lindfield,LDD,North Shore,1/1/1890
Liverpool,LPO,Main South,26/9/1856
Loftus,LOF,Illawarra,9/3/1886
Macarthur,MCA,Main South,28/07/1985
